Scene,IDs,Subtitles,Image Prompt,Reference Images
1,1-2,"""Have you ever been in a chat with an AI and it feels amazing... then suddenly it forgets the most important thing you said""","Subject: Medium shot of a young man in modern techwear sitting at a wooden cafe table, looking frustrated at a transparent holographic tablet hovering in front of him. The hologram shows a chat interface turning from blue to glitchy red. 
Environment: Cozy coffee shop with warm lighting, blurred background of espresso machines and plants.
Style Token: Arcane-series artistic style, hand-painted digital textures with visible brushstrokes, ink-trace shadows, and dramatic volumetric lighting. Modern techwear aesthetic, sleek geometric shapes, sophisticated color palette of Deep Cobalt, Electric Cyan, and Soft Amber. Stylized realism, high-contrast cinematic atmosphere, 8k resolution.","architect_768.jpeg, sunny_768.jpeg"
2,3-4,"""Like you told it make it a shortlist... and three messages later it drops a giant essay anyway""","Subject: Isometric close-up of a futuristic chat interface floating in a void. On the left, a small amber box labeled ""CONSTRAINT: SHORTLIST"". On the right, a massive, overflowing cascade of cyan text blocks tumbling down, ignoring the constraint. 
Style Token: Arcane-series artistic style, hand-painted digital textures, visible brushstrokes. Deep Cobalt background. Electric Cyan text blocks, Soft Amber constraints. High contrast, glowing UI elements.",items_768.jpeg
3,5,"""Or you say don't mention spoilers and it casually spoils the plot""","Subject: Isometric view of a digital warning sign glowing red with a ""NO SPOILERS"" icon. A large, heavy block of cyan text crashes down on top of it, cracking the sign. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Dramatic lighting, red danger glow vs cyan text glow.",items_768.jpeg
4,6-10,"""It's tempting to think the AI is being lazy... but most of the time it's... the context window. Here's the twist...""","Subject: Wide isometric view of a floating digital whiteboard with a glowing slate-colored frame. The whiteboard is completely packed with glowing cyan and amber data blocks, with no empty space left. Some blocks are falling off the edge into darkness. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Minimalist Slate frame, Electric Cyan data.","whiteboard_768.jpeg, items_768.jpeg"
5,11-13,"""your message becomes tokens... both spend the same limited budget""","Subject: Isometric view of a translucent tactical backpack with a glowing ""capacity meter"" on the side. A stream of Amber blocks (user input) and a stream of Cyan blocks (AI output) are both flowing into the *same* main compartment, which is bulging at the seams. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Soft Amber and Electric Cyan glowing blocks. Detailed techwear texture on the backpack.",items_768.jpeg
6,14-16,"""Once you see that AI amnesia starts making a lot more sense... Tokens and context window""","Subject: A split screen or dual-hologram view. Left side: A single glowing Cyan cube (Token). Right side: A glowing Slate frame (Window). Both are floating over a blurred tech workspace background. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Sharp focus on the two key symbols. Cinematic lighting.","items_768.jpeg, whiteboard_768.jpeg"
7,17-20,"""First we'll talk about tokens... they're more like chunks of text the model works with""","Subject: Close-up of hands (techwear gloves) organizing a pile of glowing cyan cubes on a workbench. The cubes have faint rune-like text fragments on them. 
Environment: Digital workshop with tools in background. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Electric Cyan glow from the cubes illuminating the hands.","items_768.jpeg, architect_768.jpeg"
8,21-23,"""Second we'll talk about the context window... maximum amount of tokens the model can pay attention to""","Subject: Isometric view of the ""Whiteboard"" floating in the void. It is empty except for a glowing frame. A spotlight sweeps across the empty surface, highlighting the limited area. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Minimalist Slate frame with Electric Cyan glowing edges.",whiteboard_768.jpeg
9,24-26,"""Then we'll hit the main rule... input tokens + output tokens have to fit inside one shared limit""","Subject: Isometric view of a balance scale. On one side, a pile of Amber blocks. On the other, a pile of Cyan blocks. The scale is balanced perfectly inside a glowing circular boundary line. 
Style Token: Arcane-series artistic style, hand-painted digital textures. Deep Cobalt background. Soft Amber and Electric Cyan elements.",items_768.jpeg
10,27-28,"""And finally you'll get a simple toolkit... keep the AI on track... without coding""","Subject: Top-down view of a ""Toolkit"" being opened on a cafe table. Inside are glowing holographic tools: a summarizer icon, a scissors icon, and a checklist. 
Environment: Cafe table surface (wood texture). 
Style Token: Arcane-series artistic style, hand-painted digital textures. Realistic wood texture mixed with tech holograms.","items_768.jpeg, sunny_768.jpeg"
